"INSPEÇÕES TOPOGRÁFICAS -  MONTAGEM DE PRÉ-MOLDADOS
PO.QUA 010 - Verificação de Materiais e Serviços",,,,,,,,,,,,,,,,,,
Código da Peça,x,y,z,Projeto (m),,"1ª Etapa- Real (m)
(Antes do grauteamento do cálice)",,DATA,EXCENTRICIDADE,," 2ª Etapa- Real (m)
(Após o grauteamento do cálice)",,DATA,EXCENTRICIDADE,,"3ª Etapa- Real (m)
(Após instalação das vigas)",,DATA
,,,,N (y),E (x),N (y),E (x),,N (y),E (x),N (y),E (x),,N (y),E (x),N (y),E (x),
,,,,,,,,,,,,,,,,,,
PP54,40,40,,"9084768,539","280086,8913","9084768,538","280086,89",9/28/2020,,,"9084768,538","280086,891",9/28/2020,,,"9084768,541","280086,891",10/1/2020
PP55,40,40,,"9084777,538","280086,891","9084777,538","280086,891",1/18/2021,,,"9084777,538","280086,891",1/21/2021,,,,,
PP56,40,40,,,,"9084731,7630","280074,6810",8/31/2020,,,"9084731,763","280074,683",9/2/2020,,,"9084731,763","280074,68",9/23/2020
PP57,30,30,,"9084690,758","280071,171","9084690,758","280071,171",8/31/2020,,,"9084690,756","280071,168",1/12/2021,,,,,
PP58,30,30,,"9084692,793","280071,171","9084692,793","280071,171",8/31/2020,,,"9084692,794","280071,168",1/12/2021,,,,,
PP59,30,30,,"9084690,758","280073,821","9084690,758","280073,821",8/31/2020,,,"9084690,757","280073,819",1/12/2021,,,,,
PP60,30,30,,"9084692,793","280073,821","9084692,791","280073,821",8/31/2020,,,"9084692,796","280073,818",1/12/2021,,,,,
PP61,,,,,,N = 0,E = +2,1/26/2021,,,,,,,,,,
PP62,,,,,,,,,,,,,,,,,,
PP63,,,,,,N = 0,E = 0,1/25/2021,,,N = 0,E = 0,1/25/2021,,,,,
PP64,,,,,,N = - 3,E = + 5,1/25/2021,,,,,,,,,,
PP65,,,,,,N = + 1,E = 0,1/25/2021,,,,,,,,,,
PP66,,,,,,N = - 3,E = + 4,1/25/2021,,,,,,,,,,
PP67,,,,,,N = 0,E = 0,1/25/2021,,,,,,,,,,
PP68,,,,,,N = - 5,E = - 3,1/25/2021,,,,,,,,,,
